asset                                  资产、优点

assistant                              助手

approach                               方法

advance                                发展

advantaged                             有利的

behavior                               行为

bracket                                括号，支架

collaps                                塌陷

clause                                 条款

chapter                                章节

controvert                             争论

desire                                 欲望，要求

demonstrate                            证明



fulfilled				满足的

forward					前锋、向前的



mono					单声道的

monochrome				单色

minus					减

memo					备忘录

occurrence				发生，出现，事件

omit					省略

perform					执行

platform				平台


quote					引用

resume					摘要

regard					注意

recall					召回

square					平方、广场、方形

specific				特性

specify					指定 

scheme					计划

spill					溢出

slash					削减，猛砍，批评

striation				条纹，擦痕

utility					实用

wildcard				通配符

indicate				表明，指出




省略：ellipsis 
omission 
omit 

缩写 abbreviate

别名：alias




correspond                              通信，符合，一致
evaluate				评估
encounter				偶遇
incident				事件
interpreter				解释者
prior					优先的
practice				实践，练习
scheme					计划
spill					溢出
slash					削减，猛砍，批评
striation				条纹，擦痕
